CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2010-3,28,2017-2,17,17,1875.6200000000003,473.64000000000004
2010-3,29,2017-3,2,2,339.8,187.47
2010-4,1,2010-4,2153,2726,356502.70000001113,79104.25999999994
2010-4,2,2011-1,226,246,27564.11000000008,6247.880000000001
2010-4,3,2011-2,144,157,16967.510000000028,4260.050000000001
2010-4,4,2011-3,192,201,22858.480000000058,5814.059999999995
2010-4,5,2011-4,201,210,22871.89000000005,5146.4400000000005
2010-4,6,2012-1,150,163,16350.770000000017,4329.500000000002
2010-4,7,2012-2,170,182,17561.120000000028,4074.989999999999
2010-4,8,2012-3,141,151,23475.800000000072,5069.58
2010-4,9,2012-4,105,112,10046.199999999995,2746.2
2010-4,10,2013-1,90,97,11117.710000000008,3101.53
2010-4,11,2013-2,76,80,9645.79,2139.49
2010-4,12,2013-3,64,70,8555.809999999994,1773.15
2010-4,13,2013-4,79,85,10364.33,1770.6200000000006
2010-4,14,2014-1,50,61,7416.099999999994,1944.4
2010-4,15,2014-2,43,45,5057.169999999996,1253.0500000000002
2010-4,16,2014-3,58,60,7512.419999999993,1975.1000000000001
2010-4,17,2014-4,51,55,5814.669999999994,1460.2399999999996
2010-4,18,2015-1,38,41,5566.019999999997,1194.46
2010-4,19,2015-2,42,45,4255.299999999999,1452.95
2010-4,20,2015-3,43,46,5690.439999999998,1578.3900000000003
2010-4,21,2015-4,36,38,5371.589999999998,1296.86
2010-4,22,2016-1,33,38,5364.689999999997,957.98
2010-4,23,2016-2,28,30,2932.0299999999997,590.7800000000001
2010-4,24,2016-3,35,37,3803.079999999999,1036.7299999999998
2010-4,25,2016-4,25,26,3391.4799999999996,636.59
2010-4,26,2017-1,22,30,2441.0699999999993,606.65
2010-4,27,2017-2,21,25,2809.2300000000005,915.2099999999999
2010-4,28,2017-3,1,1,215.95,9.57
2011-1,1,2011-1,1817,2247,331245.3400000102,73671.05999999997
2011-1,2,2011-2,231,244,59695.14999999972,11646.050000000003
2011-1,3,2011-3,185,199,19441.61000000004,4991.140000000005
2011-1,4,2011-4,162,175,23133.10000000005,4939.610000000004
2011-1,5,2012-1,150,161,17170.890000000032,3979.250000000001
2011-1,6,2012-2,137,152,18365.840000000055,5024.229999999999
2011-1,7,2012-3,134,139,14083.46000000002,3435.1399999999994
