CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2011-2,25,2017-2,12,13,1250.2000000000003,386.11000000000007
2011-2,26,2017-3,1,1,54.95,10.76
2011-3,1,2011-3,720,843,70066.19999999927,22463.93999999999
2011-3,2,2011-4,79,88,8402.999999999996,2626.57
2011-3,3,2012-1,77,79,6130.849999999992,1658.5899999999995
2011-3,4,2012-2,73,78,6680.279999999993,1780.7500000000007
2011-3,5,2012-3,82,85,5514.7499999999945,2053.43
2011-3,6,2012-4,65,66,4516.149999999995,1380.0600000000002
2011-3,7,2013-1,76,78,5576.569999999995,1581.0
2011-3,8,2013-2,46,49,3942.7299999999977,1181.94
2011-3,9,2013-3,48,48,3937.079999999998,981.0199999999998
2011-3,10,2013-4,45,49,5122.979999999997,1319.7300000000002
2011-3,11,2014-1,35,35,2174.1400000000003,581.5699999999999
2011-3,12,2014-2,26,27,1696.9900000000007,466.61
2011-3,13,2014-3,30,30,2307.01,861.2500000000001
2011-3,14,2014-4,34,36,2944.509999999999,863.1399999999999
2011-3,15,2015-1,26,28,1551.5400000000009,406.87
2011-3,16,2015-2,22,24,1221.4900000000005,359.12
2011-3,17,2015-3,11,12,961.3500000000001,190.35000000000002
2011-3,18,2015-4,25,25,2058.0900000000006,567.28
2011-3,19,2016-1,18,18,1503.7900000000004,549.62
2011-3,20,2016-2,15,16,1074.0000000000005,293.00000000000006
2011-3,21,2016-3,14,16,1772.0500000000002,464.37
2011-3,22,2016-4,13,13,1243.25,497.15
2011-3,23,2017-1,13,13,737.2999999999998,239.32
2011-3,24,2017-2,13,13,915.2400000000001,275.28
2011-4,1,2011-4,962,1162,98673.42999999845,30419.409999999996
2011-4,2,2012-1,106,111,9368.44,2347.020000000001
2011-4,3,2012-2,82,83,6477.169999999991,1915.1000000000004
2011-4,4,2012-3,95,100,10460.619999999999,2773.42
2011-4,5,2012-4,87,91,9171.689999999993,2509.08
2011-4,6,2013-1,93,94,6834.48999999999,1898.6100000000008
2011-4,7,2013-2,80,84,6440.689999999991,1689.0800000000002
2011-4,8,2013-3,65,68,5927.499999999994,1670.4700000000005
2011-4,9,2013-4,56,56,5355.349999999996,1622.8600000000001
2011-4,10,2014-1,47,49,3673.7699999999986,1251.6699999999998
2011-4,11,2014-2,42,44,4016.899999999998,1183.01
2011-4,12,2014-3,50,53,5118.539999999995,1316.6099999999997
2011-4,13,2014-4,46,50,4673.519999999998,1255.5099999999995
2011-4,14,2015-1,29,29,1925.470000000001,598.04
2011-4,15,2015-2,23,23,2181.0400000000004,605.64
2011-4,16,2015-3,30,31,2312.6100000000006,706.9
2011-4,17,2015-4,21,22,1917.730000000001,500.93999999999994
2011-4,18,2016-1,19,22,1947.2400000000005,775.4899999999999
2011-4,19,2016-2,24,24,3162.8700000000003,1266.46
2011-4,20,2016-3,21,21,1893.6900000000007,540.5500000000001
2011-4,21,2016-4,21,22,1208.2900000000002,473.13999999999993
2011-4,22,2017-1,30,34,2552.0999999999995,879.77
2011-4,23,2017-2,24,25,1987.3400000000006,517.0
2011-4,24,2017-3,1,1,79.95,12.23
2012-1,1,2012-1,997,1264,99384.16999999851,29818.969999999994
2012-1,2,2012-2,122,135,9423.319999999994,3322.690000000003
2012-1,3,2012-3,84,87,5671.699999999995,1955.7200000000007
2012-1,4,2012-4,91,93,5749.559999999992,1889.18
2012-1,5,2013-1,94,97,7861.119999999989,1901.92
2012-1,6,2013-2,64,70,5307.9599999999955,1721.0899999999995
2012-1,7,2013-3,79,85,6411.3199999999915,2051.129999999999
2012-1,8,2013-4,61,68,5833.839999999993,1407.0299999999997
2012-1,9,2014-1,61,62,4513.349999999997,1608.6800000000003
2012-1,10,2014-2,47,48,3537.539999999998,1193.47
2012-1,11,2014-3,51,53,4141.179999999998,1292.6799999999996
2012-1,12,2014-4,38,40,3145.219999999999,847.73
2012-1,13,2015-1,53,58,4795.559999999997,1568.4600000000003
2012-1,14,2015-2,31,32,2565.3199999999983,776.0199999999999
